Timestamp,1. How often do you shop online?  ,2. What is your age group?  ,"3. Which platform do you prefer for buying electronics (e.g., phones, laptops, gadgets)?  ",4. Where do you usually shop for fashion and apparel?,5.  Which platform do you prefer for beauty and skincare products?  ,6. Where do you typically buy groceries and household essentials?  ,7. What is the most important factor for you when choosing a platform to shop from?  ,8. Do you trust the product reviews and ratings on these platforms?  ,9. Which platform’s return and refund policy do you find the best?  
22/10/2024 07:09:38,Occasionally (once every few months),18-24,Amazon,Myntra,Nykaa,Blinkit,Return/Refund Policy,"Yes, completely trust them",I don’t use return/refund services
22/10/2024 07:10:02,Monthly,Under 18,Reliance Digital,Zara,Nykaa,Zepto,Platform Trust and Security,"Yes, completely trust them",I don’t use return/refund services
22/10/2024 07:10:25,Monthly,18-24,Amazon,Myntra,Nykaa,Blinkit,Platform Trust and Security,Neutral,I don’t use return/refund services
22/10/2024 07:10:41,Monthly,18-24,Reliance Digital,Myntra,Amazon,Blinkit,Return/Refund Policy,Somewhat trust them,Myntra
22/10/2024 07:11:06,Rarely (once or twice a year),18-24,None / I don’t buy electronics online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Blinkit,Platform Trust and Security,Neutral,I don’t use return/refund services
22/10/2024 07:11:46,Occasionally (once every few months),25-34,None / I don’t buy electronics online,None / I don’t buy fashion items online,Nykaa,Blinkit,Availability of Offers and Coupons,"Yes, completely trust them",I don’t use return/refund services
22/10/2024 07:12:07,Monthly,18-24,None / I don’t buy electronics online,Myntra,Nykaa,Blinkit,Product Quality,Somewhat trust them,I don’t use return/refund services
22/10/2024 07:12:37,Occasionally (once every few months),18-24,None / I don’t buy electronics online,H&M,Nykaa,Blinkit,Platform Trust and Security,"Yes, completely trust them",I don’t use return/refund services
22/10/2024 07:13:10,Occasionally (once every few months),18-24,Reliance Digital,Amazon,Nykaa,Blinkit,Price and Discounts,"Yes, completely trust them",I don’t use return/refund services
22/10/2024 07:13:30,Monthly,35-44,Amazon,Myntra,Myntra,Blinkit,Product Quality,Somewhat trust them,I don’t use return/refund services
22/10/2024 07:13:49,Monthly,18-24,Amazon,Myntra,Nykaa,Blinkit,Product Quality,"Yes, completely trust them",I don’t use return/refund services
22/10/2024 07:14:13,Monthly,18-24,Amazon,Amazon,Nykaa,Blinkit,Return/Refund Policy,"Yes, completely trust them",I don’t use return/refund services
22/10/2024 07:14:43,Occasionally (once every few months),18-24,Amazon,Myntra,Nykaa,JioMart,Price and Discounts,"Yes, completely trust them",Myntra
22/10/2024 07:14:52,Rarely (once or twice a year),18-24,None / I don’t buy electronics online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Blinkit,Platform Trust and Security,Neutral,I don’t use return/refund services
22/10/2024 07:15:10,Monthly,18-24,Flipkart,H&M,Myntra,Zepto,Product Quality,Neutral,I don’t use return/refund services
22/10/2024 07:15:31,Monthly,18-24,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,Neutral,Amazon
22/10/2024 07:15:50,Monthly,18-24,Amazon,Myntra,Amazon,Blinkit,Price and Discounts,"Yes, completely trust them",Amazon
22/10/2024 07:16:11,Occasionally (once every few months),18-24,Amazon,H&M,Nykaa,Blinkit,Platform Trust and Security,"Yes, completely trust them",Amazon
22/10/2024 07:16:38,Monthly,18-24,None / I don’t buy electronics online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Platform Trust and Security,Somewhat trust them,I don’t use return/refund services
22/10/2024 07:16:57,Monthly,18-24,Amazon,Myntra,Nykaa,Blinkit,Availability of Offers and Coupons,"Yes, completely trust them",Amazon
22/10/2024 07:17:30,Monthly,Under 18,Amazon,H&M,Nykaa,JioMart,Price and Discounts,"Yes, completely trust them",I don’t use return/refund services
22/10/2024 07:17:52,Monthly,18-24,Amazon,Myntra,Myntra,Blinkit,Product Quality,"Yes, completely trust them",I don’t use return/refund services
22/10/2024 07:18:25,weekly,45-54,Flipkart,Ajio,Nykaa,Blinkit,Product Quality,"Yes, completely trust them",Amazon
22/10/2024 07:18:38,Monthly,18-24,Amazon,Myntra,Myntra,Zepto,Platform Trust and Security,"Yes, completely trust them",I don’t use return/refund services
22/10/2024 07:18:56,Daily,35-44,Amazon,Ajio,Nykaa,Blinkit,Price and Discounts,"Yes, completely trust them",Amazon
22/10/2024 07:19:24,Occasionally (once every few months),18-24,Amazon,H&M,Myntra,Zepto,Price and Discounts,"Yes, completely trust them",I don’t use return/refund services
22/10/2024 07:19:25,weekly,35-44,Croma,Ajio,Nykaa,Blinkit,Price and Discounts,Neutral,Amazon
22/10/2024 07:19:44,Occasionally (once every few months),18-24,Amazon,Myntra,Purplle,Zepto,Return/Refund Policy,"Yes, completely trust them",I don’t use return/refund services
22/10/2024 07:19:58,weekly,25-34,Flipkart,Flipkart,Amazon,JioMart,Price and Discounts,"Yes, completely trust them",Myntra
22/10/2024 07:20:01,Occasionally (once every few months),18-24,Amazon,Flipkart,Nykaa,JioMart,Price and Discounts,Neutral,Flipkart
22/10/2024 07:20:20,Monthly,18-24,Reliance Digital,Myntra,Flipkart,Flipkart Supermart,Price and Discounts,Neutral,I don’t use return/refund services
22/10/2024 07:20:29,Daily,45-54,Reliance Digital,Myntra,Flipkart,JioMart,Product Quality,Neutral,Flipkart
22/10/2024 07:20:45,Monthly,Under 18,Flipkart,Myntra,Amazon,Blinkit,Price and Discounts,Neutral,I don’t use return/refund services
22/10/2024 07:20:54,weekly,35-44,Amazon,Ajio,Myntra,Zepto,Platform Trust and Security,Somewhat trust them,Amazon
22/10/2024 07:21:01,Occasionally (once every few months),18-24,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,"Yes, completely trust them",Amazon
22/10/2024 07:21:18,weekly,18-24,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,"Yes, completely trust them",Amazon
22/10/2024 07:21:25,Daily,45-54,Flipkart,Amazon,Flipkart,Zepto,Platform Trust and Security,Neutral,Myntra
22/10/2024 07:22:15,Monthly,45-54,Croma,Zara,Purplle,JioMart,Product Quality,Somewhat trust them,Nykaa
22/10/2024 07:22:48,weekly,45-54,Flipkart,Amazon,Flipkart,JioMart,Product Quality,Neutral,Flipkart
22/10/2024 07:23:14,Daily,35-44,Reliance Digital,Zara,Nykaa,Zepto,Platform Trust and Security,Somewhat trust them,Nykaa
22/10/2024 07:43:19,Monthly,45-54,Reliance Digital,Amazon,Amazon,Blinkit,Price and Discounts,Neutral,Flipkart
22/10/2024 07:49:03,Monthly,18-24,Flipkart,Myntra,Amazon,Zepto,Product Quality,Somewhat don’t trust them,Amazon
22/10/2024 07:49:50,Daily,55 and above,None / I don’t buy electronics online,Flipkart,Flipkart,None / I don’t buy fashion items online,Platform Trust and Security,Don’t trust them at all,I don’t use return/refund services
22/10/2024 07:50:23,Never,Under 18,None / I don’t buy electronics online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Price and Discounts,Don’t trust them at all,I don’t use return/refund services
22/10/2024 07:51:07,Monthly,35-44,Reliance Digital,Zara,Flipkart,Zepto,Product Variety,Somewhat don’t trust them,Nykaa
22/10/2024 07:51:23,weekly,35-44,None / I don’t buy electronics online,Amazon,Myntra,Zepto,Product Quality,Somewhat trust them,Myntra
22/10/2024 07:53:02,Monthly,45-54,Amazon,H&M,Nykaa,JioMart,Platform Trust and Security,Neutral,Amazon
22/10/2024 07:57:05,Monthly,18-24,Amazon,Myntra,Myntra,Blinkit,Price and Discounts,Neutral,Nykaa
22/10/2024 08:10:27,Occasionally (once every few months),45-54,Amazon,Amazon,Amazon,JioMart,Return/Refund Policy,Neutral,Amazon
22/10/2024 08:45:59,weekly,18-24,Amazon,Flipkart,I don't buy fashion items at all,JioMart,All of the above,Somewhat trust them,Amazon
22/10/2024 08:50:13,Monthly,18-24,Flipkart,Ajio,None / I don’t buy fashion items online,Shop ,Product Quality,Neutral,Flipkart
22/10/2024 09:01:12,Monthly,18-24,Amazon,None / I don’t buy fashion items online,Nykaa,JioMart,Product Quality,Somewhat trust them,Amazon
22/10/2024 09:15:15,Occasionally (once every few months),Under 18,None / I don’t buy electronics online,Myntra,Amazon,None / I don’t buy fashion items online,Platform Trust and Security,Somewhat trust them,Amazon
22/10/2024 09:15:33,Occasionally (once every few months),18-24,Amazon,Myntra,Nykaa,JioMart,Price and Discounts,Neutral,Flipkart
22/10/2024 09:16:11,Monthly,18-24,Croma,None / I don’t buy fashion items online,Nykaa,Zepto,Price and Discounts,"Yes, completely trust them",Myntra
22/10/2024 09:16:36,weekly,18-24,Flipkart,Zara,Amazon,Blinkit,Product Quality,Somewhat trust them,Flipkart
22/10/2024 09:17:03,Monthly,25-34,Reliance Digital,Amazon,Myntra,JioMart,Price and Discounts,"Yes, completely trust them",Nykaa
22/10/2024 09:20:18,Occasionally (once every few months),18-24,Flipkart,Myntra,Nykaa,None / I don’t buy fashion items online,Price and Discounts,"Yes, completely trust them",Flipkart
22/10/2024 09:24:19,Occasionally (once every few months),18-24,Flipkart,All of the above ,Skincare??????,I stay in hostel,Return/Refund Policy,"Yes, completely trust them",Flipkart
22/10/2024 09:33:48,weekly,18-24,Flipkart,Myntra,Nykaa,Flipkart Supermart,Price and Discounts,"Yes, completely trust them",Myntra
22/10/2024 09:34:16,weekly,18-24,Flipkart,H&M,Nykaa,Flipkart Supermart,Product Quality,"Yes, completely trust them",Myntra
22/10/2024 09:36:07,Monthly,18-24,Reliance Digital,Myntra,Nykaa,Blinkit,Price and Discounts,"Yes, completely trust them",I don’t use return/refund services
22/10/2024 09:36:49,Monthly,18-24,Reliance Digital,Myntra,Nykaa,Blinkit,Product Variety,"Yes, completely trust them",Amazon
22/10/2024 09:37:12,Rarely (once or twice a year),35-44,None / I don’t buy electronics online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Blinkit,Product Quality,Somewhat trust them,I don’t use return/refund services
22/10/2024 09:37:40,Rarely (once or twice a year),18-24,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,Neutral,I don’t use return/refund services
22/10/2024 09:37:50,Occasionally (once every few months),18-24,Flipkart,Zara,Flipkart,None / I don’t buy fashion items online,Product Variety,Somewhat trust them,Myntra
22/10/2024 09:38:16,weekly,Under 18,Flipkart,Amazon,Myntra,Zepto,Return/Refund Policy,Neutral,Myntra
22/10/2024 09:38:24,Monthly,18-24,Amazon,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Blinkit,Product Quality,"Yes, completely trust them",I don’t use return/refund services
22/10/2024 09:38:46,weekly,18-24,Amazon,Flipkart,Flipkart,JioMart,Platform Trust and Security,Somewhat don’t trust them,Amazon
22/10/2024 09:39:04,Monthly,18-24,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,"Yes, completely trust them",I don’t use return/refund services
22/10/2024 09:39:22,Monthly,18-24,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,Neutral,I don’t use return/refund services
22/10/2024 09:39:40,Daily,18-24,Amazon,Ajio,Myntra,Blinkit,Return/Refund Policy,Somewhat trust them,Nykaa
22/10/2024 09:39:47,Occasionally (once every few months),18-24,Amazon,None / I don’t buy fashion items online,Nykaa,None / I don’t buy fashion items online,Product Quality,Neutral,Amazon
22/10/2024 09:40:12,Monthly,18-24,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,Neutral,Amazon
22/10/2024 09:40:17,Daily,18-24,Croma,Ajio,Nykaa,Zepto,Price and Discounts,Somewhat trust them,Nykaa
22/10/2024 09:40:40,Monthly,18-24,Amazon,Amazon,Nykaa,None / I don’t buy fashion items online,Product Variety,Somewhat trust them,Nykaa
22/10/2024 09:40:45,weekly,25-34,Flipkart,Amazon,Myntra,Blinkit,Product Quality,Somewhat trust them,Flipkart
22/10/2024 09:41:12,Monthly,18-24,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,"Yes, completely trust them",Amazon
22/10/2024 09:41:31,Monthly,18-24,Croma,Myntra,Purplle,Zepto,Platform Trust and Security,Somewhat trust them,I don’t use return/refund services
22/10/2024 09:41:34,weekly,18-24,Flipkart,Flipkart,Myntra,Zepto,Platform Trust and Security,Neutral,Ajio
22/10/2024 09:41:37,weekly,18-24,Amazon,Myntra,Nykaa,Flipkart Supermart,Price and Discounts,"Yes, completely trust them",Myntra
22/10/2024 09:41:52,Rarely (once or twice a year),Under 18,None / I don’t buy electronics online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Platform Trust and Security,Neutral,I don’t use return/refund services
22/10/2024 09:42:07,Monthly,18-24,Reliance Digital,Amazon,Myntra,Zepto,Return/Refund Policy,Somewhat trust them,Myntra
22/10/2024 09:42:31,Monthly,18-24,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,"Yes, completely trust them",Amazon
22/10/2024 09:42:57,Monthly,18-24,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,"Yes, completely trust them",I don’t use return/refund services
22/10/2024 09:43:18,Daily,18-24,Flipkart,Zara,Amazon,Flipkart Supermart,Return/Refund Policy,Somewhat trust them,Myntra
22/10/2024 09:43:54,Monthly,25-34,None / I don’t buy electronics online,Amazon,Amazon,JioMart,Return/Refund Policy,"Yes, completely trust them",Flipkart
22/10/2024 09:44:00,Monthly,18-24,Amazon,Zara,Nykaa,Blinkit,Product Quality,"Yes, completely trust them",I don’t use return/refund services
22/10/2024 09:44:18,Monthly,25-34,Reliance Digital,Zara,None / I don’t buy fashion items online,Flipkart Supermart,Platform Trust and Security,Somewhat trust them,Flipkart
22/10/2024 09:44:46,Occasionally (once every few months),35-44,Flipkart,Amazon,Purplle,None / I don’t buy fashion items online,Platform Trust and Security,Somewhat trust them,Flipkart
22/10/2024 09:44:59,Monthly,18-24,Flipkart,Flipkart,Flipkart,JioMart,Price and Discounts,Don’t trust them at all,Flipkart
22/10/2024 09:45:01,Monthly,18-24,Amazon,Myntra,None / I don’t buy fashion items online,Blinkit,Price and Discounts,Neutral,Amazon
22/10/2024 09:45:02,weekly,25-34,Amazon,None / I don’t buy fashion items online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Product Quality,Somewhat trust them,Amazon
22/10/2024 09:45:05,Occasionally (once every few months),18-24,None / I don’t buy electronics online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,JioMart,Price and Discounts,Somewhat trust them,I don’t use return/refund services
22/10/2024 09:45:09,Occasionally (once every few months),18-24,Amazon,Flipkart,None / I don’t buy fashion items online,JioMart,Price and Discounts,Somewhat trust them,Flipkart
22/10/2024 09:45:16,Monthly,18-24,Amazon,Myntra,Nykaa,JioMart,Product Quality,Somewhat trust them,Myntra
22/10/2024 09:45:20,Monthly,18-24,Amazon,Myntra,Nykaa,JioMart,Price and Discounts,Somewhat trust them,Amazon
22/10/2024 09:45:21,Monthly,25-34,Amazon,None / I don’t buy fashion items online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Availability of Offers and Coupons,"Yes, completely trust them",I don’t use return/refund services
22/10/2024 09:45:25,Monthly,18-24,Amazon,Myntra,Nykaa,JioMart,Price and Discounts,Neutral,Flipkart
22/10/2024 09:45:29,Occasionally (once every few months),18-24,Amazon,Myntra,Offline ,JioMart,Product Quality,Neutral,Myntra
22/10/2024 09:45:50,Occasionally (once every few months),18-24,Amazon,Myntra,Purplle,JioMart,Price and Discounts,Neutral,Ajio
22/10/2024 09:45:57,weekly,18-24,Amazon,Myntra,None / I don’t buy fashion items online,JioMart,Price and Discounts,Somewhat don’t trust them,Amazon
22/10/2024 09:46:01,weekly,18-24,Reliance Digital,Flipkart,Myntra,Blinkit,Price and Discounts,"Yes, completely trust them",Myntra
22/10/2024 09:46:15,Occasionally (once every few months),18-24,Reliance Digital,"Reliance,pantaloons,zudio",Amazon,Local supermarket ,Product Quality,"Yes, completely trust them",Amazon
22/10/2024 09:46:25,Occasionally (once every few months),18-24,Amazon,Myntra,Flipkart,JioMart,Price and Discounts,Neutral,Myntra
22/10/2024 09:46:30,Occasionally (once every few months),25-34,Reliance Digital,Myntra,Nykaa,Flipkart Supermart,Product Quality,"Yes, completely trust them",Amazon
22/10/2024 09:46:51,Monthly,18-24,Reliance Digital,Myntra,Amazon,JioMart,Price and Discounts,Neutral,Amazon
22/10/2024 09:47:04,Rarely (once or twice a year),18-24,Amazon,None / I don’t buy fashion items online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Price and Discounts,Neutral,Flipkart
22/10/2024 09:47:21,Monthly,18-24,Reliance Digital,Myntra,Amazon,JioMart,Product Quality,"Yes, completely trust them",Myntra
22/10/2024 09:47:55,weekly,18-24,Flipkart,Flipkart,Nykaa,Zepto,Platform Trust and Security,Don’t trust them at all,Ajio
22/10/2024 09:48:20,Monthly,18-24,Croma,Amazon,Flipkart,Flipkart Supermart,Platform Trust and Security,Neutral,Nykaa
22/10/2024 09:48:50,Daily,18-24,Flipkart,Flipkart,Myntra,JioMart,Platform Trust and Security,Somewhat trust them,Nykaa
22/10/2024 09:49:17,Monthly,18-24,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,"Yes, completely trust them",I don’t use return/refund services
22/10/2024 09:49:23,Daily,18-24,Flipkart,Flipkart,Nykaa,Blinkit,Return/Refund Policy,Somewhat don’t trust them,Myntra
22/10/2024 09:49:48,Rarely (once or twice a year),18-24,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,Neutral,Amazon
22/10/2024 09:49:54,Monthly,35-44,Croma,Amazon,Nykaa,Blinkit,Product Variety,Don’t trust them at all,I don’t use return/refund services
22/10/2024 09:50:12,Monthly,18-24,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,Neutral,Amazon
22/10/2024 09:50:20,Daily,18-24,Croma,Amazon,Nykaa,Zepto,Product Quality,"Yes, completely trust them",Amazon
22/10/2024 09:50:52,Monthly,18-24,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,"Yes, completely trust them",I don’t use return/refund services
22/10/2024 09:51:06,weekly,35-44,Reliance Digital,Amazon,Flipkart,JioMart,Availability of Offers and Coupons,Somewhat trust them,Ajio
22/10/2024 09:51:23,Rarely (once or twice a year),Under 18,Amazon,Amazon,Nykaa,JioMart,Product Quality,"Yes, completely trust them",Amazon
22/10/2024 09:51:34,Daily,18-24,Amazon,Zara,Flipkart,JioMart,Platform Trust and Security,Somewhat don’t trust them,Nykaa
22/10/2024 09:52:23,weekly,18-24,Flipkart,Flipkart,Nykaa,Flipkart Supermart,Product Quality,Somewhat trust them,Myntra
22/10/2024 09:53:10,Daily,18-24,Reliance Digital,Flipkart,Nykaa,Flipkart Supermart,Price and Discounts,Somewhat trust them,Myntra
22/10/2024 09:54:05,Monthly,18-24,Flipkart,Myntra,Nykaa,Blinkit,Price and Discounts,"Yes, completely trust them",Amazon
22/10/2024 09:54:38,Monthly,25-34,Amazon,Myntra,Myntra,Zepto,Price and Discounts,Somewhat don’t trust them,Flipkart
22/10/2024 09:54:56,Monthly,18-24,Amazon,Myntra,Nykaa,Blinkit,Product Quality,"Yes, completely trust them",I don’t use return/refund services
22/10/2024 09:55:16,Monthly,18-24,Amazon,Myntra,Nykaa,Blinkit,Return/Refund Policy,"Yes, completely trust them",Ajio
22/10/2024 09:55:36,Occasionally (once every few months),18-24,Amazon,None / I don’t buy fashion items online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Availability of Offers and Coupons,"Yes, completely trust them",I don’t use return/refund services
22/10/2024 09:55:38,weekly,25-34,Flipkart,Flipkart,Myntra,Blinkit,Return/Refund Policy,Somewhat don’t trust them,Ajio
22/10/2024 09:56:06,Occasionally (once every few months),18-24,None / I don’t buy electronics online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Zepto,Product Variety,"Yes, completely trust them",I don’t use return/refund services
22/10/2024 09:56:08,weekly,18-24,Flipkart,Amazon,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Platform Trust and Security,Somewhat don’t trust them,I don’t use return/refund services
22/10/2024 09:56:23,Monthly,18-24,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,"Yes, completely trust them",I don’t use return/refund services
22/10/2024 09:56:31,weekly,25-34,Amazon,Ajio,Flipkart,Flipkart Supermart,Product Variety,Somewhat trust them,Myntra
22/10/2024 09:56:43,Occasionally (once every few months),18-24,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,"Yes, completely trust them",I don’t use return/refund services
22/10/2024 09:57:03,Monthly,18-24,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,"Yes, completely trust them",I don’t use return/refund services
22/10/2024 09:57:11,weekly,25-34,Flipkart,Flipkart,Flipkart,JioMart,Platform Trust and Security,"Yes, completely trust them",Amazon
22/10/2024 09:57:16,weekly,18-24,Amazon,Ajio,Amazon,Zepto,Price and Discounts,Somewhat trust them,I don’t use return/refund services
22/10/2024 09:57:21,Monthly,18-24,Amazon,H&M,Nykaa,Blinkit,Product Quality,"Yes, completely trust them",I don’t use return/refund services
22/10/2024 09:57:40,Occasionally (once every few months),35-44,Croma,Myntra,Nykaa,Flipkart Supermart,Platform Trust and Security,Somewhat trust them,Flipkart
22/10/2024 09:57:46,Monthly,18-24,Flipkart,Myntra,Nykaa,JioMart,Platform Trust and Security,Neutral,Flipkart
22/10/2024 09:59:53,Monthly,18-24,Amazon,Myntra,Nykaa,Blinkit,Product Quality,Neutral,Amazon
22/10/2024 10:00:09,Monthly,35-44,Flipkart,Ajio,Myntra,Zepto,Return/Refund Policy,Neutral,Nykaa
22/10/2024 10:00:22,weekly,18-24,Flipkart,Myntra,Nykaa,Flipkart Supermart,Return/Refund Policy,"Yes, completely trust them",Flipkart
22/10/2024 10:01:35,weekly,18-24,Croma,Flipkart,Flipkart,Flipkart Supermart,Return/Refund Policy,Neutral,Myntra
22/10/2024 10:01:54,Daily,18-24,Flipkart,Ajio,Nykaa,Zepto,Price and Discounts,"Yes, completely trust them",Amazon
22/10/2024 10:02:13,weekly,18-24,Amazon,Ajio,Myntra,Flipkart Supermart,Return/Refund Policy,Neutral,Nykaa
22/10/2024 10:02:23,weekly,18-24,Flipkart,Myntra,Nykaa,Flipkart Supermart,Price and Discounts,"Yes, completely trust them",Myntra
22/10/2024 10:02:31,Daily,18-24,Flipkart,Ajio,Myntra,Zepto,Product Quality,Somewhat trust them,Flipkart
22/10/2024 10:02:55,Monthly,18-24,Amazon,Myntra,Nykaa,Zepto,Product Quality,Neutral,Myntra
22/10/2024 10:03:07,Monthly,25-34,Reliance Digital,Flipkart,Myntra,Zepto,Product Quality,Neutral,Nykaa
22/10/2024 10:03:22,Monthly,35-44,Reliance Digital,Amazon,Flipkart,Flipkart Supermart,Return/Refund Policy,Neutral,Nykaa
22/10/2024 10:03:34,Occasionally (once every few months),18-24,Flipkart,Flipkart,Flipkart,Flipkart Supermart,Platform Trust and Security,"Yes, completely trust them",Flipkart
22/10/2024 10:03:36,Monthly,25-34,Reliance Digital,Flipkart,Amazon,Zepto,Product Quality,Somewhat trust them,Amazon
22/10/2024 10:03:37,weekly,18-24,Flipkart,Myntra,Nykaa,Flipkart Supermart,Price and Discounts,"Yes, completely trust them",Myntra
22/10/2024 10:04:07,Monthly,25-34,Reliance Digital,Flipkart,Flipkart,Zepto,Product Quality,Somewhat don’t trust them,Myntra
22/10/2024 10:04:25,Occasionally (once every few months),35-44,Croma,Zara,Amazon,JioMart,Platform Trust and Security,Neutral,Myntra
22/10/2024 10:04:41,Monthly,35-44,Croma,Zara,Myntra,Flipkart Supermart,Return/Refund Policy,Somewhat trust them,Nykaa
22/10/2024 10:04:53,Rarely (once or twice a year),45-54,None / I don’t buy electronics online,None / I don’t buy fashion items online,Purplle,JioMart,Return/Refund Policy,Somewhat trust them,Nykaa
22/10/2024 10:05:06,Occasionally (once every few months),35-44,Croma,Amazon,Amazon,JioMart,Return/Refund Policy,Neutral,Ajio
22/10/2024 10:05:22,Occasionally (once every few months),45-54,None / I don’t buy electronics online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Product Variety,Neutral,Ajio
22/10/2024 10:06:08,Monthly,18-24,Amazon,Myntra,Nykaa,Blinkit,Product Quality,Neutral,Myntra
22/10/2024 10:06:28,Monthly,35-44,Croma,Zara,Purplle,JioMart,Platform Trust and Security,Neutral,Nykaa
22/10/2024 10:06:44,Occasionally (once every few months),45-54,None / I don’t buy electronics online,Flipkart,Flipkart,Zepto,Platform Trust and Security,Somewhat don’t trust them,Nykaa
22/10/2024 10:07:00,Monthly,35-44,Croma,Zara,Amazon,JioMart,Product Variety,Neutral,Ajio
22/10/2024 10:07:14,Monthly,35-44,Croma,Amazon,Nykaa,Zepto,Return/Refund Policy,Somewhat trust them,Myntra
22/10/2024 10:07:28,Occasionally (once every few months),35-44,Croma,Amazon,Amazon,Flipkart Supermart,Product Variety,Neutral,Nykaa
22/10/2024 10:07:41,Occasionally (once every few months),45-54,None / I don’t buy electronics online,Amazon,Amazon,JioMart,Return/Refund Policy,Somewhat trust them,Nykaa
22/10/2024 10:07:54,Rarely (once or twice a year),45-54,Croma,Flipkart,Flipkart,Zepto,Product Quality,Somewhat trust them,Flipkart
22/10/2024 10:08:10,Occasionally (once every few months),35-44,Reliance Digital,Flipkart,Purplle,Flipkart Supermart,Product Quality,Neutral,Nykaa
22/10/2024 10:12:52,Occasionally (once every few months),18-24,Amazon,Myntra,Myntra,None / I don’t buy fashion items online,Price and Discounts,Somewhat trust them,Amazon
22/10/2024 10:16:22,Occasionally (once every few months),25-34,Amazon,None / I don’t buy fashion items online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Product Quality,Somewhat trust them,Amazon
22/10/2024 10:18:54,weekly,18-24,Amazon,Myntra,Nykaa,Flipkart Supermart,Price and Discounts,"Yes, completely trust them",Myntra
22/10/2024 10:19:15,weekly,18-24,Flipkart,Myntra,Nykaa,Flipkart Supermart,Product Quality,Neutral,Nykaa
22/10/2024 10:22:34,weekly,18-24,Flipkart,Myntra,Nykaa,Flipkart Supermart,Product Quality,"Yes, completely trust them",Flipkart
22/10/2024 10:25:30,Monthly,Under 18,Amazon,Myntra,Nykaa,JioMart,Product Quality,Neutral,Amazon
22/10/2024 10:27:53,weekly,18-24,Flipkart,Myntra,Nykaa,Flipkart Supermart,Price and Discounts,"Yes, completely trust them",Amazon
22/10/2024 10:28:15,weekly,18-24,Flipkart,Myntra,Nykaa,Flipkart Supermart,Return/Refund Policy,Neutral,Myntra
22/10/2024 10:29:05,weekly,18-24,Flipkart,Myntra,Nykaa,Flipkart Supermart,Price and Discounts,"Yes, completely trust them",Amazon
22/10/2024 10:34:29,Rarely (once or twice a year),18-24,Amazon,None / I don’t buy fashion items online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Price and Discounts,Somewhat trust them,Amazon
22/10/2024 10:36:52,Monthly,18-24,None / I don’t buy electronics online,H&M,Nykaa,Blinkit,Price and Discounts,Neutral,Amazon
22/10/2024 10:37:17,Monthly,18-24,Amazon,Myntra,None / I don’t buy fashion items online,Blinkit,Price and Discounts,"Yes, completely trust them",Amazon
22/10/2024 10:37:46,Monthly,18-24,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,Neutral,Amazon
22/10/2024 10:38:06,Monthly,18-24,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,"Yes, completely trust them",I don’t use return/refund services
22/10/2024 10:38:29,Monthly,18-24,Amazon,None / I don’t buy fashion items online,Nykaa,None / I don’t buy fashion items online,Price and Discounts,Neutral,I don’t use return/refund services
22/10/2024 10:38:50,Occasionally (once every few months),18-24,Reliance Digital,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Blinkit,Price and Discounts,Neutral,Amazon
22/10/2024 10:40:22,Monthly,25-34,Amazon,None / I don’t buy fashion items online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Product Quality,Neutral,I don’t use return/refund services
